datasetId,auc_1year,auc_2year,auc_3year
dataset0,0.74,0.7807017543859649,0.6624611801242236
dataset1,0.6973684210526316,0.6541666666666667,0.6862480739599383
dataset2,0.8363636363636364,0.7647058823529412,0.7098832968636033
dataset3,0.8428571428571429,0.8445378151260504,0.8221467006513737
dataset4,0.7904761904761904,0.875,0.8412698412698413
dataset5,0.919047619047619,0.952991452991453,0.9412541254125413
dataset6,0.7878787878787878,0.8907563025210085,0.7883184523809523
dataset7,0.9136363636363636,0.8506787330316742,0.8133333333333332
dataset8,0.7894736842105263,0.7918552036199095,0.7685185185185185
dataset9,0.8421052631578947,0.8833333333333333,0.8779154518950437
dataset10,0.7428571428571429,0.7276785714285714,0.7276785714285714
dataset11,0.8952380952380953,0.8403361344537815,0.7486611265004617
dataset12,0.8205128205128206,0.8487394957983193,0.8487394957983193
dataset13,0.9385964912280701,0.8201754385964912,0.8272636454454636
dataset14,0.8375,0.865546218487395,0.8150072939460249
dataset15,0.9523809523809524,0.9145299145299145,0.9028305471124619
dataset16,0.8095238095238095,0.8162393162393163,0.8415210886980022
dataset17,0.8476190476190476,0.8083333333333333,0.7807944606413996
dataset18,0.8954545454545455,0.8823529411764707,0.890438988095238
dataset19,0.7047619047619048,0.8041666666666667,0.7534168564920274
dataset20,0.74,0.7807017543859649,0.6624611801242236
dataset21,0.7285714285714286,0.8541666666666666,0.8696246355685131
dataset22,0.8227272727272728,0.7521367521367521,0.7498611368265137
dataset23,0.9227272727272727,0.9125,0.905674349717671
dataset24,0.904040404040404,0.8529411764705882,0.8529411764705882
dataset25,0.9047619047619048,0.8361344537815126,0.8685266229029905
dataset26,0.8857142857142858,0.8208333333333334,0.7312127976190477
dataset27,0.8476190476190476,0.8739495798319328,0.840956340956341
dataset28,0.6142857142857143,0.5125000000000001,0.5791571753986333
dataset29,0.7424242424242424,0.8355555555555555,0.8009049773755657
dataset30,0.8478260869565217,0.8445378151260504,0.806936306936307
dataset31,0.717948717948718,0.8376068376068376,0.8376068376068376
dataset32,0.8508771929824562,0.8760683760683761,0.8726752503576538
dataset33,0.8245614035087719,0.8291666666666667,0.8331821480406386
dataset34,0.8727272727272727,0.9411764705882353,0.9750692520775623
dataset35,0.8523809523809524,0.7791666666666667,0.7815178571428572
dataset36,0.8333333333333333,0.8418803418803419,0.7570808157099698
dataset37,0.8232323232323231,0.8333333333333334,0.8204620462046205
dataset38,0.875,0.8675213675213675,0.8538519637462236
dataset39,0.7559523809523809,0.9145299145299146,0.8404526166902404
dataset40,0.8333333333333334,0.832579185520362,0.8190045248868779
dataset41,0.7051282051282052,0.7719298245614035,0.77767704240959
dataset42,0.7894736842105262,0.8482142857142858,0.7991071428571429
dataset43,0.8214285714285714,0.7291666666666667,0.6874016476904562
dataset44,0.7863247863247863,0.7605042016806723,0.7605042016806723
dataset45,0.7368421052631579,0.730769230769231,0.7720851216022889
dataset46,0.8586956521739131,0.7104072398190046,0.7544642857142857
dataset47,0.7041666666666667,0.6554621848739497,0.6798869438366156
dataset48,0.8181818181818181,0.861344537815126,0.841089566020314
dataset49,0.7058823529411764,0.8421052631578948,0.7994296577946767
dataset50,0.7863247863247863,0.8657407407407407,0.895
dataset51,0.7899159663865546,0.7991452991452992,0.7852713178294575
dataset52,0.898989898989899,0.8487394957983193,0.7809487809487808
dataset53,0.6428571428571429,0.7041666666666666,0.6926153273809524
dataset54,0.775,0.7938596491228069,0.8433565024680166
dataset55,0.7559523809523809,0.8067226890756304,0.7639508928571429
dataset56,0.8285714285714286,0.9095022624434389,0.875
dataset57,0.7714285714285715,0.6708333333333333,0.6884300595238095
dataset58,0.7324561403508772,0.8318181818181818,0.8618470149253731
dataset59,0.8076923076923077,0.865546218487395,0.863876732312181
dataset60,0.75,0.7511111111111112,0.7129629629629629
dataset61,0.8421052631578948,0.8458333333333333,0.8416180690548922
dataset62,0.8476190476190476,0.8616071428571428,0.8088888888888889
dataset63,0.7818181818181819,0.8083333333333335,0.7467370174951403
dataset64,0.8952380952380953,0.858974358974359,0.858974358974359
dataset65,0.9090909090909092,0.8907563025210085,0.8268229166666666
dataset66,0.7336956521739131,0.7983193277310924,0.7575253924284394
dataset67,0.738095238095238,0.618421052631579,0.6344955200623296
dataset68,0.823529411764706,0.8928571428571429,0.8981481481481481
dataset69,0.8619047619047618,0.8416666666666667,0.7866123925825419
dataset70,0.798913043478261,0.6875,0.6266666666666668
dataset71,0.8818181818181818,0.9017857142857142,0.8506787330316742
dataset72,0.8047619047619048,0.8375,0.8147776967930029
dataset73,0.7636363636363637,0.8374999999999999,0.7934584548104956
dataset74,0.7727272727272727,0.8991596638655462,0.8931080480213428
dataset75,0.8383838383838383,0.8687782805429864,0.85
dataset76,0.9571428571428572,0.8794642857142857,0.88
dataset77,0.8781512605042017,0.8846153846153846,0.8846153846153846
dataset78,0.7373737373737375,0.8194444444444445,0.7633928571428572
dataset79,0.8625,0.832535885167464,0.8201058201058201
dataset80,0.7878787878787878,0.8564814814814815,0.9276018099547512
dataset81,0.8666666666666667,0.823529411764706,0.8265835929387333
dataset82,0.9402173913043479,0.8258928571428571,0.7453703703703703
dataset83,0.8714285714285713,0.8277310924369748,0.8418852823477102
dataset84,0.7999999999999999,0.8616071428571428,0.7894736842105262
dataset85,0.7023809523809524,0.5857142857142857,0.5795847750865052
dataset86,0.8939393939393938,0.8181818181818182,0.8159975669099757
dataset87,0.8285714285714286,0.8907563025210085,0.8768234865062
dataset88,0.8504273504273504,0.9066666666666666,0.8101851851851851
dataset89,0.8476190476190476,0.7983193277310925,0.7983193277310925
dataset90,0.9619047619047619,0.8625,0.8024622789965751
dataset91,0.7735042735042735,0.8222222222222223,0.8235294117647058
dataset92,0.7735042735042735,0.8375,0.8289461781999096
dataset93,0.898989898989899,0.8632478632478634,0.7987741631305987
dataset94,0.7991452991452991,0.9125,0.845156023222061
dataset95,0.8863636363636362,0.9458333333333333,0.9115413819286257
dataset96,0.75,0.8208333333333333,0.7942238267148015
dataset97,0.8869047619047619,0.8954545454545455,0.9201751766696525
dataset98,0.7948717948717948,0.8739495798319328,0.8858497447118892
dataset99,0.8815789473684211,0.7605042016806723,0.7496353026987602
